dataset,comparison,LPIPS
coco_val2017,base,0.712720
coco_val2017,base,0.282373
coco_val2017,base,0.526838
coco_val2017,base,0.163363
coco_val2017,base,0.622463
coco_val2017,base,0.583644
coco_val2017,base,0.016142
coco_val2017,base,0.012216
coco_val2017,base,0.012522
coco_val2017,base,0.387813
coco_val2017,base,0.019291
coco_val2017,base,0.693266
coco_val2017,base,0.049183
coco_val2017,base,0.667239
coco_val2017,base,0.310264
coco_val2017,base,0.019790
coco_val2017,base,0.397861
coco_val2017,base,0.036312
coco_val2017,base,0.648343
coco_val2017,base,0.587801
coco_val2017,base,0.574730
coco_val2017,base,0.652164
coco_val2017,base,0.023173
coco_val2017,base,0.563100
coco_val2017,base,0.020644
coco_val2017,base,0.019930
coco_val2017,base,0.267243
coco_val2017,base,0.006637
coco_val2017,base,0.007510
coco_val2017,base,0.618093
coco_val2017,base,0.236777
coco_val2017,base,0.020638
coco_val2017,base,0.218231
coco_val2017,base,0.248242
coco_val2017,base,0.314854
coco_val2017,base,0.665338
coco_val2017,base,0.026715
coco_val2017,base,0.322512
coco_val2017,base,0.009155
coco_val2017,base,0.363940
coco_val2017,base,0.028076
coco_val2017,base,0.260357
coco_val2017,base,0.221005
coco_val2017,base,0.298079
coco_val2017,base,0.504504
coco_val2017,base,0.011897
coco_val2017,base,0.505489
coco_val2017,base,0.024050
coco_val2017,base,0.020914
coco_val2017,base,0.298625
coco_val2017,base,0.313114
coco_val2017,base,0.603947
coco_val2017,base,0.009074
coco_val2017,base,0.240888
coco_val2017,base,0.020548
coco_val2017,base,0.294490
coco_val2017,base,0.295551
coco_val2017,base,0.645789
coco_val2017,base,0.231215
coco_val2017,base,0.686052
coco_val2017,base,0.250887
coco_val2017,base,0.221200
coco_val2017,base,0.516898
coco_val2017,base,0.581781
coco_val2017,base,0.026956
coco_val2017,base,0.526560
coco_val2017,base,0.660528
coco_val2017,base,0.119090
coco_val2017,base,0.299183
coco_val2017,base,0.677731
coco_val2017,base,0.295065
coco_val2017,base,0.220115
coco_val2017,base,0.166495
coco_val2017,base,0.207657
coco_val2017,base,0.272777
coco_val2017,base,0.013624
coco_val2017,base,0.168566
coco_val2017,base,0.684848
coco_val2017,base,0.282006
coco_val2017,base,0.621750
coco_val2017,base,0.008222
coco_val2017,base,0.339684
coco_val2017,base,0.312514
coco_val2017,base,0.030996
coco_val2017,base,0.316792
coco_val2017,base,0.020861
coco_val2017,base,0.212053
coco_val2017,base,0.217417
coco_val2017,base,0.254376
coco_val2017,base,0.221524
coco_val2017,base,0.305915
coco_val2017,base,0.518020
coco_val2017,base,0.012598
coco_val2017,base,0.661023
coco_val2017,base,0.623886
coco_val2017,repaint,0.021427
coco_val2017,repaint,0.018185
coco_val2017,repaint,0.679976
coco_val2017,repaint,0.026088
coco_val2017,repaint,0.647752
coco_val2017,repaint,0.773334
coco_val2017,repaint,0.559425
coco_val2017,repaint,0.309975
coco_val2017,repaint,0.017132
coco_val2017,repaint,0.031659
coco_val2017,repaint,0.310026
coco_val2017,repaint,0.547700
coco_val2017,repaint,0.612769
coco_val2017,repaint,0.320421
coco_val2017,repaint,0.655654
coco_val2017,repaint,0.707317
coco_val2017,repaint,0.368861
coco_val2017,repaint,0.023993
coco_val2017,repaint,0.028654
coco_val2017,repaint,0.690942
coco_val2017,repaint,0.033110
coco_val2017,repaint,0.494362
coco_val2017,repaint,0.679848
coco_val2017,repaint,0.728848
coco_val2017,repaint,0.341621
coco_val2017,repaint,0.020582
coco_val2017,repaint,0.404577
coco_val2017,repaint,0.342694
coco_val2017,repaint,0.030642
coco_val2017,repaint,0.365593
coco_val2017,repaint,0.721356
coco_val2017,repaint,0.007558
coco_val2017,repaint,0.398234
coco_val2017,repaint,0.708986
coco_val2017,repaint,0.027417
coco_val2017,repaint,0.564452
coco_val2017,repaint,0.572378
coco_val2017,repaint,0.306393
coco_val2017,repaint,0.410687
coco_val2017,repaint,0.423984
coco_val2017,repaint,0.679934
coco_val2017,repaint,0.610980
coco_val2017,repaint,0.019587
coco_val2017,repaint,0.332394
coco_val2017,repaint,0.038424
coco_val2017,repaint,0.674182
coco_val2017,repaint,0.633030
coco_val2017,repaint,0.359997
coco_val2017,repaint,0.793568
coco_val2017,repaint,0.025247
coco_val2017,repaint,0.326291
coco_val2017,repaint,0.007917
coco_val2017,repaint,0.325426
coco_val2017,repaint,0.734142
coco_val2017,repaint,0.364157
coco_val2017,repaint,0.704996
coco_val2017,repaint,0.393000
coco_val2017,repaint,0.036534
